questions,answers
flower rot in spine gourd,"indofil m 45 @ 2ml/lit,tracel2 @ 2ml/lit"
late blight of tamato,adviced to apply indophly m 45 @ 2.5 gm per liter of water
crabs problem in pond,use  bentonite at the hole
want to know micro nutrient requirment in brijal,adviced to apply tracel 2 @ 2 gm per liter of water
pest attack in rice field,advice him to spray tricel@2ml/l water
fruit dropping,aplly borax @ 25 gm per plant in ring method
asking about the nutrient management,application of miracle @ 2.5 grams per litre of water
asking about the nutsheding and control measure of coconut,suggested to spray rogor  or sevin @2ml/water
fruit borer in spine gourd,adviced to apply malathion 50 ec@ 2 ml per liter of water
problem of fruit borer in brinjal,advised him to apply malathion 50 ec @ 2 ml/liter of water.
broiler birds weight lose after white diarrhoea,"advised,1.vitosel wsp....5gm/lt water  for 10 days."
asking about the pest control in long yard bean,advised to apply  shakti-10 @ 2ml/litres of water
coconut,forwarded to the agrculture expert
asking about the fertilizer dos e for guava,"application of compost 10 kg, urea 130 gram s, ssp 160 grams , mop 130 grams , and borax 25 grams per plant twice in a year"
fruit drop in coconut,"adviced to apply urea 1.5 kg, ssp 2.5 kg, mop 1.75 kg and borax 25 gm per plant in two split dose one in may and next in the month of october"
pest infestation in brinjal,adviced to spray cartap 50%
query regrading pest control measures of mustard,suggested rogor @ 2gm per litr of water
asking about hybrid seeds of rice,suggested varities of hybrid rice as arize 6444
pest attack,profex super @ 2ml/lit
asking about the brinjal nutrition,application of green harvest all crops @ 2.5 ml per litre of water
pest attack and fruit rot,"profex super 2ml/lit,blitox 2g/lit"
fertilizer requirment in coconut,"adviced to apply urea 1.5 kg ,ssp 2.5 kg, mop 1.75 kg and borax 50 gm per plant in ring"
catterpiller problem in bamboo,adviced to apply malathion 5 % dust @ 2 kg
asking about the control of panama disease in banana,advised to spray carbendazim @ 2 gram / litre of water
asking about the control measure of mildew,suggested soray blitox @ 2gm/lit of water
asking about the stem borer problem in paddy,application of phospomidon @ 2 ml per litre of water
medication to local chicken,"1.anyantibiotic....2,3,4 days 2.vitamin+ calcium....7 days onward for 10 days.3 deworming at 9 weeks"
atack of rhinocerous beetle in coconut,apply lime with water at the crown
shoot borer in ginger,adviced to apply rogor @ 1 ml per liter of water
control of fungal spot in the leaf of colocasia,advised to apply indofil m-45 @ 2 gram / litre of water
fruit fly problem,spray confidence 555 @ 1 ml per litre of water
fruit borer in mango,adviced to apply malathion 50 ec or charge @ 2 ml per liter of water
query reagrding fertlizer application in paddy  ranjit ,"suggested 18kgs of urea , 17 kgs ssp and 9 kgs mop"
wanted to know the webside of assam govt agricultural department,assamgovt.nic.in
asking about wilting promblem in bottle gourd,suggested to spray bavistin @ 1gm + indofil m-45 @ 2gm/litre of water
termite problem in colecassia,adviced to apply malathion dust 5% dust @ 1 kg per bigha
asking about nurient problem,spray tracel 2
downy mildew in french bean,adviced to apply diathane z 78 @ 3 ml per liter of water
asking about fruiting problem,use proper dose fertilizer
vitamin,apply green harvest all crops @ 2gm/litre of water
asking about flower dropping in bottle guord,application of meghabor @ 2.5 ml per of water
micronutrient deficiency,spray tracel-2 @ 2ml mixed with one litre of water
query regarding application of vitamin in pomegranate,suggested tracel 2 @ 2ml per litr of water
control of root rot in colocassia,advised to apply blitox-50 @ 2 gram / litre of water
askikng  about treatment of throat infection in dog,suggested to inject lynx @ 2 ml i/mly daily for five days.along with that administer velcote @ 5 ml once daily.
informing that his kroiler birds had eaten up the eggs,"advised, 1.ostocalcium.....20ml/100 birds ..in water for 10 days 2.put small stones in water trough 3. put on red light bulb at night"
asking about insects pest problem in yard long bean,application of malathion 50 ec @ 2 ml per litre of water
white spot in leaf of spine gourd,adviced to spray bevistin @ 2g/l of water
asking fruit drop,give proper fertilizer dose
asking about varity,"aau- j -1,pusa sikmi"
asking about leaf curling,spray bavistin
fruit and shoot borer in bhendi,adviced to apply decis 2.4 ec @ .5 ml per liter of water or malathion 50 ec @ 2 ml per liter of water
asking about the control measure of leaf curl in cucumber,advised to spray rogor 35 ec @ 2 ml / litre of water
asking about fungal disease problem,application of captaf @ 2 gram per litre of water
problem of rice stem borer,advised him to apply classic 20 @ 2 ml ? liter of water.
asking about leaf disease,spray tracel 2gm/l
fungal attack,spray blitox 50 @2 ml mixed with one litre and then spray tracel-2 @ 2ml mixed with one litre of water after three days of spraying blitox
vetrelated query expert,tranferred to vet. expert
asking about the pest control in rice,advised to apply ustad @ 2ml/litres of water
asking about late sali varity,"sonamukhi,luit,kapilee"
asking about fertilizer for brinjal,"suggested him to apply urea-8kg,mop-5kg,compost-100kg inbetween the lines"
informing that the some of the chicks are bitting each other,"advised,1. debeaking  2. calcium in water 3.stone grit in drinking water"
asking about external parasitic infection,inj.ivermectin.....1ml/50kg body weight...sub.cut and repeat again after 1 week
query regarding pest control in musk melon,suggested malathion 50 ec @ 2ml per litr of water
query regarding application of vitamin in ridge gourd,suggested tracel 2 @ 2gm per litr of water
problem of fussarium wilt in chilli,advised him to apply blitox 50 @ 2 ml / liter of water.
want to know about fertilizer requirment in rice,"adviced to apply urea 9 kg, ssp 17 kg and mop 9 kg per bigha"
powdery mildew in brinjal,adviced to apply bavistin @ 1 gm per liter of water
asking about the control of leaf spot in chilli,advised to apply carzim 50 @ 2 gram / litre of water
asked about pest control in cucumber,adviced to spray malathion 50 ec
fungal wilt in betel vine,bordeaux mixture is recommended
asking about cultural prctices and insect infestation in pomegranate,"advice him to apply urea,ssp and mop and he has malathion with him so advice him to spray infeested leaves @2ml/litre"
asking about fruit drop problem,spray tracel 2 and  vitamine
query from vety section,answer given by our vety expert
asking about dog bite case in cow,suggested to inject postbite antirabies therapy with the help of a veterinarian
asking for yellow vein mosaic problem,spray rogor @ 1.5 ml per liter of water
wilt in brinjal,spray rhodomil 2g + streptomycine 1g/2lit of water
fruit borer in brinjal,adviced to apply charge @ 2 ml per liter of water
asking about the feed for broiler,suggested to give amrit feed to the broiler to get better result.
asking that his broiler birds are 2 months old and wants to get egg,"advised, eggs will give at the age of 5-6 months, give restricted feed schedule and give more space to run"
informing that few nos of his broiler birds are dozing at a corner,"advised,antibio tics powder for whole folk @ of   i.2gm/lt water for 3 days   ii.5gm/lt water for 5 days"
disease of broilar,1.enrox powder @ 10g per 100 birds daily for three days  2. ambiplex @ 20ml per 100 birds daily for 3 days
